CAT_LABEL_MODEL_(DSET);eat;disorder;recovery;edtwt;anorexic;ed;thinspo;binge;food;bulimia;people;anorexia;help;research;problem;study
ED_1;94;20;9;219;155;59;129;40;20;34;21;15;15;2;4;3
ED_0;989;803;393;22;107;167;9;235;393;105;224;184;137;216;194;185
ED_1_RF_(KGE);207;158;103;129;105;116;86;92;97;67;89;46;38;19;35;22
ED_0_RF_(KGE);876;665;299;112;157;110;52;183;316;72;156;153;114;199;163;166
ED_1_RF_(Text);90;18;12;222;140;66;116;30;25;39;26;18;19;5;2;6
ED_0_RF_(Text);993;805;390;19;122;160;22;245;388;100;219;181;133;213;196;182
ED_1_RF_(Text+KGE);91;22;11;225;152;57;128;41;22;25;29;21;22;5;7;5
ED_0_RF_(Text+KGE);992;801;391;16;110;169;10;234;391;114;216;178;130;213;191;183
ED_1_LSTM_(KGE);205;156;101;125;103;115;84;90;95;65;88;45;36;18;39;25
ED_0_LSTM_(KGE);878;667;301;116;159;111;54;185;318;74;157;154;116;200;159;163
ED_1_LSTM_(Text);85;17;11;218;136;65;112;31;22;34;22;19;21;6;8;5
ED_0_LSTM_(Text);998;806;391;23;126;161;26;244;391;105;223;180;131;212;190;183
ED_1_LSTM_(Text+KGE);90;23;13;230;150;58;124;42;25;22;19;20;21;9;9;4
ED_0_LSTM_(Text+KGE);993;800;389;11;112;168;14;233;388;117;226;179;131;209;189;184
ED_1_Bi-LSTM_(KGE);207;158;103;129;105;116;86;92;97;67;89;46;38;19;35;22
ED_0_Bi-LSTM_(KGE);876;665;299;112;157;110;52;183;316;72;156;153;114;199;163;166
ED_1_Bi-LSTM_(Text);82;19;16;225;144;68;110;30;20;36;26;22;22;8;9;2
ED_0_Bi-LSTM_(Text);1001;804;386;16;118;158;28;245;393;103;219;177;130;210;189;186
ED_1_Bi-LSTM_(Text+KGE);91;25;14;232;151;66;120;44;29;25;26;22;18;8;6;3
ED_0_Bi-LSTM_(Text+KGE);992;798;388;9;111;160;18;231;384;114;219;177;134;210;192;185
ED_1_CNN_(KGE);207;158;105;128;105;116;89;92;105;68;89;47;39;19;42;27
ED_0_CNN_(KGE);876;665;297;113;157;110;49;183;308;71;156;152;113;199;156;161
ED_1_CNN_(Text);87;19;14;219;138;69;117;32;23;36;21;17;22;8;7;6
ED_0_CNN_(Text);996;804;388;22;124;157;21;243;390;103;224;182;130;210;191;182
ED_1_CNN_(Text+KGE);99;24;36;225;140;60;126;43;29;30;18;21;22;8;5;3
ED_0_CNN_(Text+KGE);984;799;366;16;122;166;12;232;384;109;227;178;130;210;193;185
ED_1_CNN+LSTM_(KGE);209;159;121;126;108;121;88;95;107;65;87;45;33;15;40;22
ED_0_CNN+LSTM_(KGE);874;664;281;115;154;105;50;180;306;74;158;154;119;203;158;166
ED_1_CNN+LSTM_(Text);90;22;19;222;135;75;124;33;24;38;21;18;25;9;9;5
ED_0_CNN+LSTM_(Text);993;801;383;19;127;151;14;242;389;101;224;181;127;209;189;183
ED_1_CNN+LSTM_(Text+KGE);101;25;38;226;142;60;126;41;28;31;19;22;23;9;3;2
ED_0_CNN+LSTM_(Text+KGE);982;798;364;15;120;166;12;234;385;108;226;177;129;209;195;186
ED_1_Albert_(KGE);215;168;124;129;111;129;95;75;114;99;98;55;45;29;60;30
ED_0_Albert_(KGE);868;655;278;112;151;97;43;200;299;40;147;144;107;189;138;158
ED_1_Albert_(Text);91;23;20;223;135;77;126;35;26;41;25;19;26;6;5;2
ED_0_Albert_(Text);992;800;382;18;127;149;12;240;387;98;220;180;126;212;193;186
ED_1_Albert_(Text+KGE);99;24;36;227;142;62;128;43;29;39;19;23;29;11;12;10
ED_0_Albert_(Text+KGE);984;799;366;14;120;164;10;232;384;100;226;176;123;207;186;178
ED_1_BERT_(KGE);207;158;105;128;105;116;89;92;105;68;89;47;39;19;42;27
ED_0_BERT_(KGE);876;665;297;113;157;110;49;183;308;71;156;152;113;199;156;161
ED_1_BERT_(Text);87;19;14;219;138;69;117;32;23;36;21;17;22;8;7;6
ED_0_BERT_(Text);996;804;388;22;124;157;21;243;390;103;224;182;130;210;191;182
ED_1_BERT_(Text+KGE);99;24;36;225;140;60;126;43;29;30;18;21;22;8;5;3
ED_0_BERT_(Text+KGE);984;799;366;16;122;166;12;232;384;109;227;178;130;210;193;185
ED_1_CamemBERT_(KGE);205;156;101;125;103;115;84;90;95;65;88;45;36;18;39;25
ED_0_CamemBERT_(KGE);878;667;301;116;159;111;54;185;318;74;157;154;116;200;159;163
ED_1_CamemBERT_(Text);85;17;11;218;136;65;112;31;22;34;22;19;21;6;8;5
ED_0_CamemBERT_(Text);998;806;391;23;126;161;26;244;391;105;223;180;131;212;190;183
ED_1_CamemBERT_(Text+KGE);90;23;13;230;150;58;124;42;25;22;19;20;21;9;9;4
