CAT_LABEL_MODEL_(DSET);eat;disorder;recovery;edtwt;anorexic;ed;thinspo;binge;food;bulimia;people;anorexia;help;research;problem;study
ED_1;488;323;274;237;210;183;136;118;113;97;90;73;50;36;16;3
ED_0;595;500;128;4;52;43;2;157;300;42;155;126;101;182;182;185
ED_1_RF_(KGE);488;323;274;237;210;183;136;118;113;97;90;73;50;36;16;3
ED_0_RF_(KGE);595;500;128;4;52;43;2;157;300;42;155;126;101;182;182;185
ED_1_RF_(Text);405;360;251;220;192;165;117;98;97;86;83;56;37;26;11;1
ED_0_RF_(Text);678;463;151;21;70;61;21;177;316;53;162;143;114;192;187;187
ED_1_RF_(Text+KGE);430;340;291;239;222;198;128;107;99;104;72;54;67;30;23;5
ED_0_RF_(Text+KGE);653;483;111;2;40;28;10;168;314;35;173;145;84;188;175;183
ED_1_LSTM_(KGE);720;525;335;200;150;210;100;68;70;56;50;36;25;10;35;30
ED_0_LSTM_(KGE);363;298;67;41;112;16;38;207;343;83;195;163;126;208;163;158
ED_1_LSTM_(Text);425;346;296;229;195;161;111;92;93;80;77;50;33;25;10;2
ED_0_LSTM_(Text);658;477;106;12;67;65;27;183;320;59;168;149;118;193;188;186
ED_1_LSTM_(Text+KGE);426;342;292;233;223;199;125;105;98;106;71;55;66;29;22;4
ED_0_LSTM_(Text+KGE);657;481;110;8;39;27;13;170;315;33;174;144;85;189;176;184
ED_1_Bi-LSTM_(KGE);725;521;336;202;155;211;101;69;72;58;55;38;26;11;36;31
ED_0_Bi-LSTM_(KGE);358;302;66;39;107;15;37;206;341;81;190;161;125;207;162;157
ED_1_Bi-LSTM_(Text);423;345;295;227;194;158;109;91;92;79;78;51;34;26;10;3
ED_0_Bi-LSTM_(Text);660;478;107;14;68;68;29;184;321;60;167;148;117;192;188;185
ED_1_Bi-LSTM_(Text+KGE);427;343;293;234;224;201;126;106;99;107;72;56;67;30;21;4
ED_0_Bi-LSTM_(Text+KGE);656;480;109;7;38;25;12;169;314;32;173;143;84;188;177;184
ED_1_CNN_(KGE);650;521;335;201;161;222;103;70;72;59;54;39;25;11;39;29
ED_0_CNN_(KGE);433;302;67;40;101;4;35;205;341;80;191;160;126;207;159;159
ED_1_CNN_(Text);400;362;250;205;190;180;110;99;95;82;79;52;33;25;11;1
ED_0_CNN_(Text);683;461;152;36;72;46;28;176;318;57;166;147;118;193;187;187
ED_1_CNN_(Text+KGE);420;350;260;220;193;166;120;100;100;87;86;61;42;29;13;2
ED_0_CNN_(Text+KGE);663;473;142;21;69;60;18;175;313;52;159;138;109;189;185;186
ED_1_CNN+LSTM_(KGE);600;510;330;205;150;205;100;65;65;55;54;39;26;10;38;28
ED_0_CNN+LSTM_(KGE);483;313;72;36;112;21;38;210;348;84;191;160;125;208;160;160
ED_1_CNN+LSTM_(Text);401;360;251;210;185;175;108;97;92;80;78;50;30;20;12;1
