CAT_LABEL_MODEL_(DSET);eat;disorder;recovery;edtwt;anorexic;ed;thinspo;binge;food;bulimia;people;anorexia;help;research;problem;study
ED_1;533;483;137;9;19;41;8;134;139;42;92;82;76;154;59;183
ED_0;550;340;265;232;243;185;130;141;274;97;153;117;75;64;139;5
ED_1_RF_(KGE);525;478;135;7;10;35;3;129;135;40;85;78;68;145;51;174
ED_0_RF_(KGE);558;345;267;234;252;191;135;146;278;99;160;121;83;73;147;14
ED_1_RF_(Text);522;478;133;8;14;29;6;123;130;33;83;71;74;144;54;177
ED_0_RF_(Text);561;345;269;233;248;197;132;152;283;106;162;128;77;74;144;11
ED_1_RF_(Text+KGE);532;460;128;31;54;27;36;115;132;15;86;59;61;126;41;180
ED_0_RF_(Text+KGE);551;363;274;210;208;199;102;160;281;124;159;140;90;92;157;8
ED_1_LSTM_(KGE);531;475;132;6;12;40;5;127;131;41;87;72;67;147;53;175
ED_0_LSTM_(KGE);552;348;270;235;250;186;133;148;282;98;158;127;84;71;145;13
ED_1_LSTM_(Text);521;481;125;3;15;32;0;130;137;33;84;78;75;149;47;172
ED_0_LSTM_(Text);562;342;277;238;247;194;138;145;276;106;161;121;76;69;151;16
ED_1_LSTM_(Text+KGE);499;464;118;47;40;11;34;108;108;6;67;73;65;147;46;149
ED_0_LSTM_(Text+KGE);584;359;284;194;222;215;104;167;305;133;178;126;86;71;152;39
ED_1_Bi-LSTM_(KGE);530;479;133;7;16;31;6;126;138;39;86;73;73;144;56;182
ED_0_Bi-LSTM_(KGE);553;344;269;234;246;195;132;149;275;100;159;126;78;74;142;6
ED_1_Bi-LSTM_(Text);532;474;132;19;13;35;19;122;132;30;89;77;66;146;56;182
ED_0_Bi-LSTM_(Text);551;349;270;222;249;191;119;153;281;109;156;122;85;72;142;6
ED_1_Bi-LSTM_(Text+KGE);493;462;125;27;3;34;6;100;134;32;72;78;52;132;51;162
ED_0_Bi-LSTM_(Text+KGE);590;361;277;214;259;192;132;175;279;107;173;121;99;86;147;26
ED_1_CNN_(KGE);531;480;128;1;11;33;4;132;138;38;90;77;66;147;56;178
ED_0_CNN_(KGE);552;343;274;240;251;193;134;143;275;101;155;122;85;71;142;10
ED_1_CNN_(Text);528;482;134;2;9;37;19;127;137;33;83;76;75;149;51;178
ED_0_CNN_(Text);555;341;268;239;253;189;119;148;276;106;162;123;76;69;147;10
ED_1_CNN_(Text+KGE);508;443;98;2;2;38;7;109;101;24;55;72;52;142;57;143
ED_0_CNN_(Text+KGE);575;380;304;239;260;188;131;166;312;115;190;127;99;76;141;45
ED_1_CNN+LSTM_(KGE);529;481;130;2;9;36;17;126;129;36;83;77;70;144;56;182
ED_0_CNN+LSTM_(KGE);554;342;272;239;253;190;121;149;284;103;162;122;81;74;142;6
ED_1_CNN+LSTM_(Text);522;476;126;21;9;40;19;126;128;32;85;81;70;150;51;176
ED_0_CNN+LSTM_(Text);561;347;276;220;253;186;119;149;285;107;160;118;81;68;147;12
ED_1_CNN+LSTM_(Text+KGE);526;470;98;3;14;19;40;104;132;24;68;57;46;122;47;150
ED_0_CNN+LSTM_(Text+KGE);557;353;304;238;248;207;98;171;281;115;177;142;105;96;151;38
ED_1_Albert_(KGE);529;479;132;19;15;38;0;126;129;37;82;74;71;151;50;176
ED_0_Albert_(KGE);554;344;270;222;247;188;138;149;284;102;163;125;80;67;148;12
