CAT_LABEL_MODEL_(DSET);eat;disorder;recovery;edtwt;anorexic;ed;thinspo;binge;food;bulimia;people;anorexia;help;research;problem;study
ED_1;339;331;25;2;9;17;1;72;73;24;53;57;38;150;24;181
ED_0;744;492;377;239;253;209;137;203;340;115;192;142;113;68;174;7
ED_1_RF_(KGE);337;323;21;11;7;7;0;67;66;15;45;49;28;145;20;180
ED_0_RF_(KGE);746;500;381;230;255;219;138;208;347;124;200;150;123;73;178;8
ED_1_RF_(Text);327;329;21;0;3;11;13;65;65;12;49;46;31;140;12;173
ED_0_RF_(Text);756;494;381;241;259;215;125;210;348;127;196;153;120;78;186;15
ED_1_RF_(Text+KGE);299;329;57;33;19;50;33;71;54;12;39;51;23;148;1;167
ED_0_RF_(Text+KGE);784;494;345;208;243;176;105;204;359;127;206;148;128;70;197;21
ED_1_LSTM_(KGE);338;324;22;7;19;11;9;64;68;22;47;54;31;148;18;179
ED_0_LSTM_(KGE);745;499;380;234;243;215;129;211;345;117;198;145;120;70;180;9
ED_1_LSTM_(Text);336;323;21;12;4;15;8;62;64;17;46;54;36;149;22;171
ED_0_LSTM_(Text);747;500;381;229;258;211;130;213;349;122;199;145;115;69;176;17
ED_1_LSTM_(Text+KGE);314;313;14;24;34;54;13;44;51;63;20;30;22;120;57;150
ED_0_LSTM_(Text+KGE);769;510;388;217;228;172;125;231;362;76;225;169;129;98;141;38
ED_1_Bi-LSTM_(KGE);337;326;17;10;0;14;5;71;68;19;45;56;35;147;22;172
ED_0_Bi-LSTM_(KGE);746;497;385;231;262;212;133;204;345;120;200;143;116;71;176;16
ED_1_Bi-LSTM_(Text);333;324;18;6;19;16;9;61;64;16;46;52;30;143;12;174
ED_0_Bi-LSTM_(Text);750;499;384;235;243;210;129;214;349;123;199;147;121;75;186;14
ED_1_Bi-LSTM_(Text+KGE);305;319;63;35;29;6;29;58;47;53;50;37;8;148;5;144
ED_0_Bi-LSTM_(Text+KGE);778;504;339;206;233;220;109;217;366;86;195;162;143;70;193;44
ED_1_CNN_(KGE);336;328;15;7;1;14;6;69;68;23;50;56;36;141;14;177
ED_0_CNN_(KGE);747;495;387;234;261;212;132;206;345;116;195;143;115;77;184;11
ED_1_CNN_(Text);332;320;15;12;1;12;4;66;69;17;52;50;35;138;21;171
ED_0_CNN_(Text);751;503;387;229;261;214;134;209;344;122;193;149;116;80;177;17
ED_1_CNN_(Text+KGE);310;319;23;39;41;15;34;51;40;9;23;19;9;149;15;167
ED_0_CNN_(Text+KGE);773;504;379;202;221;211;104;224;373;130;222;180;142;69;183;21
ED_1_CNN+LSTM_(KGE);333;323;17;11;19;14;5;62;71;22;47;49;35;143;16;178
ED_0_CNN+LSTM_(KGE);750;500;385;230;243;212;133;213;342;117;198;150;116;75;182;10
ED_1_CNN+LSTM_(Text);336;329;16;6;0;13;6;68;72;19;41;46;34;141;12;180
ED_0_CNN+LSTM_(Text);747;494;386;235;262;213;132;207;341;120;204;153;117;77;186;8
ED_1_CNN+LSTM_(Text+KGE);318;317;6;18;26;11;13;43;47;13;43;44;25;129;20;169
ED_0_CNN+LSTM_(Text+KGE);765;506;396;223;236;215;125;232;366;126;202;155;126;89;178;19
ED_1_Albert_(KGE);329;325;19;5;0;7;8;66;69;18;52;56;37;143;18;178
ED_0_Albert_(KGE);754;498;383;236;262;219;130;209;344;121;193;143;114;75;180;10
