Column1;id_tweet;link;stream_group;text_orig;Commercial;POLITICS;ED;Family;ED_patience;ProED;Offensive;Informative;Scientific;Sad;hashtag;Columna2;Columna3
0;1,31851E+34;https://twitter.com/sophhhiiieeeeee/status/1318513897826123776;1;RT @beatED: Learn more about anorexia and bulimia, as well as other eating disorders, here: https://t.co/Aj2HbjRH39 @BBCPanorama #BBCPanorama;0;0;1;0;0;0;0;1;0;0;['BBCPanorama'];;
3;1,31851E+34;https://twitter.com/thelewespound/status/1318514436542500866;1;"A woman tries to balance her relationships with her mother and teenage daughter while under the shadow of #anorexia in the atmospheric British drama #BodyofWater. 

At Depot from Friday, book now: https://lewesdepot.org/film/body-of-water
";0;0;1;0;0;0;0;0;0;0;['anorexia', 'BodyofWater'];;
6;1,31851E+34;https://twitter.com/milkylbs/status/1318514816814882817;1;not a full on diagnosis but like my therapist legit told my mom i have anorexia nevrususu and my poor mom sat there like 👁👄👁...oh;0;0;1;0;1;0;0;0;0;0;[];;
11;1,31852E+34;https://twitter.com/JamesJosephIgoe/status/1318515167743811584;1;Higher-calorie diets for patients with anorexia nervosa shorten hospital stays https://t.co/jQFWUHQELR via @instapaper;0;0;1;0;0;0;0;1;1;0;[];;
14;1,31852E+34;https://twitter.com/GENDERYOON/status/1318515364217704449;1;tw // ed ment freddie pissed me off but it was amazing. but the way they got the anorexic, bulimic actress to play a food-obsessed character will never sit right with me;0;0;1;0;1;1;0;0;0;0;[];;
16;1,31852E+34;https://twitter.com/DlGlMONO/status/1318515659370909697;1;the brains of a woman suffering with AN, one with a healthy weight and one considered obese. the AN patient suppresses the positve reward stimulus the obese woman and the AN patient both receive more rewards stimulus, however the area is wider in the anorexia patient https://t.co/jwMQAcRoeJ;0;0;1;0;0;0;0;1;1;0;[];;
18;1,31852E+33;https://twitter.com/DlGlMONO/status/1318515677968424960;1;a brain scan showing the areas affected by positive/negative rewards. be it financial or social. a detailed explanation of an anorexic brain https://t.co/bvehB5qgIo;0;0;1;0;0;0;0;1;1;0;[];;
22;1,31852E+34;https://twitter.com/SKINNY_WHOREE/status/1318515927990882305;1;I SEARCHED UP ANOREXIA IN GIFS BYYYYE https://t.co/uY2QKBarML;0;0;1;0;1;1;0;0;0;0;[];;
23;1,31852E+34;https://twitter.com/tweetladydiary/status/1318516022115258370;1;@Naija_PR @volqx No problem nobody moves right. We shutdown everywhere please start contributions for those staying at home without food. Let’s start cooking n sharing house to house. #wereydeydisguise;0;1;0;0;0;0;0;1;0;0;['wereydeydisguise'];;
25;1,31852E+34;https://twitter.com/croissantbabie/status/1318516116868583424;1;"hii! not new to EDtwt, just using an old account! 🌞 • she/her 17 • vegan  • atypical/anorexia • cw: 53.6kg  • gw: 42kg  • 166cm  • pro recovery  • thinspo &amp; sweetspo  • low cal recipes  like / rt to become mutuals! &lt;3 {#thinspo #edtwt #ed #fatspo #sweetspo #meanspo}";0;0;1;0;1;1;1;0;0;0;['thinspo', 'edtwt', 'ed', 'fatspo', 'sweetspo', 'meanspo'];;
26;1,31852E+33;https://twitter.com/tavo_killed_it/status/1318516125131563008;1;Fuck off pussy bitch. The only cancerous thing i can think of rn is your existence.;0;0;1;0;0;0;1;0;0;0;[];;
28;1,31852E+34;https://twitter.com/Girliecutex/status/1318516398977470465;1;@Tapiokishi @toxiccals You are the best anorexic.;0;0;1;0;1;1;1;0;0;0;[];;
32;1,31852E+34;https://twitter.com/cptsdfoundation/status/1318516590971883520;1;Starving: Anorexia at 14 Anorexia steals the very life out of its victims. The disorder seemingly consumes them even as they consume next to nothing. Our guest contributor shares about her struggle with anorexia and how it correlates with mental health. https://t.co/Uxt24YYauv https://t.co/NBLUK84Rg0;0;0;1;0;0;0;0;1;0;0;[];;
37;1,31852E+34;https://twitter.com/skinnylozza/status/1318517034628558848;1;Irl did this and lost 6kg she’s the real anorexic https://t.co/WvmFyxbWk2;0;0;1;0;1;1;0;0;0;0;[];;
38;1,31852E+34;https://twitter.com/arianasdevil/status/1318517191281606656;1;tw/ weight / i don’t think y’all know how fucking frustrating it is for me to tell myself to lose weight everyday and failing every fucking single day for months already because all i do is binge eating and hating myself.;0;0;1;0;1;1;0;0;0;1;[];;
45;1,31852E+34;https://twitter.com/jjkcaI/status/1318517888131731456;1;my  dad  suggesting  me  pizza  ..  i  am  anorexic  and  currently  trying  to  keep  my  calorie  intake  under  100  today  mind  your  own  business;0;0;1;0;1;1;0;0;0;1;[];;
46;1,31852E+33;https://twitter.com/plnpybn/status/1318518281259474945;1;A family that eats together build a connection that strengthens the family ties. We only not enjoy the sharing of food, achievements and topics that makes us laugh but this also serves the way to open up personal issue, conflicts, problem encountered by each of the family member.;0;0;0;0;0;0;0;0;0;1;[];;
47;1,31852E+34;https://twitter.com/awayemicheal/status/1318518378567524352;1;@Crhedrys Problem for who no get money to buy food and fuel oo #EndBadGoveranceInNigeria;0;1;0;0;0;0;0;1;0;;['EndBadGoveranceInNigeria'];;
49;1,31852E+34;https://twitter.com/etherealjiminie/status/1318518525074546688;1;tw // anorexia i have anorexia, and this is literally so offensive? stfu;0;0;1;0;1;1;0;0;0;1;[];;
53;1,31852E+34;https://twitter.com/kaloires/status/1318519205826789376;1;i'm irene, very awkward girl, 18. either binge eating or starving, never an inbetween :) cw and hw is 186, and my first goal weight is 175. idk about ugw yet.;0;0;1;0;1;1;0;0;0;1;[];;
54;1,31852E+34;https://twitter.com/pixiebokkie/status/1318519465605095426;1;@VALYJAY they r the bezt anorexic;0;0;1;0;1;1;0;0;0;2;[];;
55;1,31852E+33;https://twitter.com/Flairtitude/status/1318519560958545920;1;So since they announced curfew by 12pm, and it’s effective from 4pm, how will people who are at work, and don’t have their homes stocked with enough food, fuel (since power is a big problem) and other resources to last the next 24hours cope? Did they think about this or? #EndSARS;0;1;0;;0;0;0;1;0;;['EndSARS'];;
56;1,31852E+34;https://twitter.com/VALYJAY/status/1318519608253550592;1;@kaydoloo you are the best anorexic;0;0;1;0;1;1;0;0;0;2;[];;
59;1,31852E+34;https://twitter.com/bunnybohoo/status/1318520102434656257;1;RT @tinyshroom95: the bonespo/thinspo on PH if you type in anorexic is INSANE;0;0;1;0;1;1;0;0;0;1;[];;
60;1,31852E+33;https://twitter.com/burntkcals/status/1318520223440506881;1;RT @sdapg6: ☁️ manifestation : - i am free from binge eating disorder. - i am free from any binge thought. - i am free from any binge cycle. - i am immune to binge. - i am able to restrict really low. - i am able to fast for really long. - i lose 20 kg instantly. - i get to my ugw instantly. https://t.co/xTZoCW6qHC;0;0;1;0;1;1;0;0;0;0;[];;
61;1,31852E+34;https://twitter.com/bunikkals/status/1318520251114524673;1;maxy is the best anorexic;0;0;1;0;1;1;0;0;0;2;[];;
62;1,31852E+34;https://twitter.com/L0WCALS/status/1318520536851533824;1;broke my fast at 47hrs cause i felt like i was seriously about to die, my mom had to bring me food to my bed and she’s so worried now, asked me when the last time i ate was (i lied), said i look sick and that “anorexia is no joke” i’m feeling bad now;0;0;1;0;1;1;0;0;0;1;[];;
63;1,31852E+33;https://twitter.com/CarbCals/status/1318520750219943938;1;@lovelylilmisty I GET CALLED ANOREXIC ALL THE TIME EVEN WHEN I WAS AT MY HW 😐 MADE ME FEEL LIIE I WAS BEING MOCKED;0;0;1;0;1;1;0;0;0;1;[];;
68;1,31852E+34;https://twitter.com/ayemind99/status/1318520971754688513;1;Eating disorder inquests : Anorexia ignorance 'major concern' - BBC News https://t.co/IYgcARFToF;0;0;1;0;0;0;0;1;1;0;[];;
