;labels-md4_mw50_RW;entities-md4_mw50_RW;embeddings-md4_mw50_RW
0;eating disorder;http://www.wikidata.org/entity/Q254327;[-0.18411312997341156, 0.35060426592826843, 0.07275683432817459, 0.13200359046459198, 0.08165120333433151, -0.4110376834869385, -0.03219226747751236, 0.7166165113449097, -0.216343492269516, -0.3374379873275757, -0.041060686111450195, -0.28653883934020996, -0.3012547194957733, 0.09334481507539749, 0.15293483436107635, -0.06371515989303589, 0.11125899851322174, 0.26703277230262756, -0.40795716643333435, -0.3852546215057373, 0.31093358993530273, -0.058847226202487946, 0.4026857316493988, -0.15933790802955627, -0.016806798055768013, 0.19832280278205872, -0.20469453930854797, 0.18237653374671936, -0.12926794588565826, 0.005943475291132927, 0.4009803533554077, -0.2582665681838989, -0.01758250966668129, -0.6791774034500122, -0.029771694913506508, 0.17407257854938507, 0.27146002650260925, -0.09855811297893524, -0.2351382076740265, 0.04316375032067299, 0.11250454187393188, -0.11881275475025177, -0.44129106402397156, -0.016518794000148773, 0.06266013532876968, -0.2036454826593399, -0.22112004458904266, -0.1693664789199829, 0.08007119596004486, 0.23585598170757294, -0.13974955677986145, -0.394094854593277, -0.2764669954776764, -0.06649551540613174, -0.22189900279045105, 0.13825419545173645, 0.15365132689476013, -0.1387597918510437, 0.0344727523624897, 0.12811756134033203, 0.14905893802642822, -0.06638015061616898, 0.15640665590763092, -0.02007370814681053, 0.010425594635307789, 0.43253275752067566, 0.4826057255268097, 0.12105772644281387, 0.03994513303041458, 0.251954585313797, -0.05837727338075638, 0.27110013365745544, 0.32084423303604126, -0.044081445783376694, 0.13070383667945862, 0.11285634338855743, -0.06676187366247177, 0.03487148880958557, 0.044704146683216095, -0.13193535804748535, -0.32045549154281616, 0.016337191686034203, -0.12992823123931885, 0.18400785326957703, -0.2807707190513611, -0.009488704614341259, 0.1690557897090912, 0.01711711473762989, 0.19519726932048798, 0.01095150038599968, 0.1268269121646881, 0.3757302761077881, 0.20593227446079254, -0.07948346436023712, 0.560215413570404, 0.022032903507351875, 0.15990625321865082, -0.18147370219230652, -0.10277042537927628, 0.19858957827091217]
1;anorexia;http://www.wikidata.org/entity/Q373822;[-0.030280141159892082, 0.3191826343536377, 0.15988866984844208, 0.19244471192359924, 0.04269048944115639, -0.4166305661201477, -0.05537213012576103, 0.5989449620246887, -0.19410379230976105, -0.3102325201034546, -0.023264218121767044, -0.30184510350227356, -0.25946280360221863, 0.07683978974819183, 0.19011712074279785, -0.07943050563335419, 0.1341371238231659, 0.19682468473911285, -0.41000303626060486, -0.4491407573223114, 0.3081916570663452, -0.02403545193374157, 0.354854941368103, -0.2686236798763275, -0.03548271954059601, 0.24851346015930176, -0.31677284836769104, 0.17462334036827087, -0.12581533193588257, 0.03324408456683159, 0.32056623697280884, -0.2697434425354004, 0.002965652383863926, -0.6294564008712769, -0.10027811676263809, 0.17690080404281616, 0.2701117694377899, -0.11723484098911285, -0.21893469989299774, 0.026792826130986214, 0.05602739751338959, -0.05757516250014305, -0.36497992277145386, -0.02012239396572113, 0.00872762780636549, -0.21763688325881958, -0.21889746189117432, -0.2085530161857605, 0.06600682437419891, 0.2739660441875458, -0.20387934148311615, -0.3995423913002014, -0.31486356258392334, -0.0037085614167153835, -0.20928166806697845, 0.12102162092924118, 0.20377127826213837, -0.14864228665828705, 0.06352560967206955, 0.1704178899526596, 0.13970446586608887, -0.13297080993652344, 0.09518199414014816, 0.04593180492520332, 0.0033228076063096523, 0.4978642165660858, 0.40027129650115967, 0.03003438375890255, -0.017126819118857384, 0.2842353284358978, -0.11757929623126984, 0.28087061643600464, 0.290427565574646, -0.09715986996889114, 0.09692422300577164, 0.12090654671192169, -0.06775861233472824, 0.05956168845295906, 0.028463348746299744, -0.09356749802827835, -0.26156747341156006, -0.022957690060138702, -0.17316363751888275, 0.1807226985692978, -0.2385258674621582, 0.047931008040905, 0.03937838226556778, -0.049578629434108734, 0.2097267061471939, 0.06392277032136917, 0.11250670999288559, 0.33979710936546326, 0.14831052720546722, -0.06253571063280106, 0.5199134945869446, -0.005523537285625935, -0.014782004989683628, -0.1026482805609703, -0.15040862560272217, 0.19428235292434692]
2;daughter;http://www.wikidata.org/entity/Q467;[-0.09051518887281418, 0.2808210253715515, 0.14868536591529846, 0.18452616035938263, 0.04021170735359192, -0.42852696776390076, -0.10312830656766891, 0.5874854922294617, -0.19399817287921906, -0.3173653185367584, 0.016746895387768745, -0.36773303151130676, -0.26143133640289307, 0.15829017758369446, 0.21192720532417297, -0.03475048020482063, 0.16560915112495422, 0.23538300395011902, -0.33025386929512024, -0.39633575081825256, 0.32705259323120117, 0.05118602514266968, 0.30994492769241333, -0.2591029703617096, 0.0677599385380745, 0.21493171155452728, -0.3035377860069275, 0.1353038251399994, -0.10389281809329987, -0.05732382461428642, 0.28036975860595703, -0.18183907866477966, 0.0015393841313198209, -0.5679363012313843, -0.10881076008081436, 0.08232274651527405, 0.24367184937000275, -0.07819774001836777, -0.1979876309633255, 0.0603923536837101, 0.08203405141830444, -0.056964728981256485, -0.3450535833835602, -0.010200073011219501, 0.014911512844264507, -0.1180129125714302, -0.27713796496391296, -0.15344910323619843, 0.06187884137034416, 0.3268670439720154, -0.20984527468681335, -0.3413146734237671, -0.31925296783447266, 0.02217027172446251, -0.12200640887022018, 0.1789701282978058, 0.20198719203472137, -0.09187633544206619, 0.035602737218141556, 0.24844981729984283, 0.1431703120470047, -0.013523525558412075, 0.009271861054003239, 0.12406286597251892, 0.04366646334528923, 0.4598337709903717, 0.3846472203731537, 0.026732569560408592, 0.05157778784632683, 0.34221309423446655, -0.029096903279423714, 0.21836024522781372, 0.2890525758266449, -0.20139844715595245, 0.10125769674777985, 0.07252579927444458, 0.009133539162576199, -0.01701650582253933, 0.008411749266088009, -0.1279812455177307, -0.28102123737335205, -0.02226908504962921, -0.21306265890598297, 0.2263815999031067, -0.26545006036758423, 0.09746865183115005, 0.02393162250518799, -0.051347002387046814, 0.22789719700813293, 0.039595212787389755, 0.09960776567459106, 0.29710888862609863, 0.15491855144500732, -0.035276737064123154, 0.4615267515182495, 0.09544537216424942, 0.04699338972568512, -0.12215451151132584, -0.13443267345428467, 0.2402600347995758]
3;interpersonal relationship;http://www.wikidata.org/entity/Q308194;[-0.12356701493263245, 0.31924253702163696, 0.1404757797718048, 0.13799822330474854, 0.06656058877706528, -0.4227723777294159, -0.07757659256458282, 0.7063209414482117, -0.19634228944778442, -0.3219349682331085, -0.03338239714503288, -0.29860326647758484, -0.289538711309433, 0.08649086952209473, 0.1936653107404709, -0.03629811480641365, 0.159326434135437, 0.28391891717910767, -0.3810136318206787, -0.3586137294769287, 0.3203241229057312, -0.03621251881122589, 0.3474053740501404, -0.2146667093038559, 0.0421377457678318, 0.23624056577682495, -0.2627740800380707, 0.1675397753715515, -0.09941583126783371, -0.027206625789403915, 0.35826921463012695, -0.23098748922348022, -0.06936780363321304, -0.666840136051178, -0.06016601622104645, 0.09538474678993225, 0.3107074797153473, -0.10445208102464676, -0.20128916203975677, 0.07610531151294708, 0.12098650634288788, -0.08319283276796341, -0.36643466353416443, -0.034009870141744614, 0.030891889706254005, -0.20233024656772614, -0.2532530725002289, -0.18166561424732208, 0.11422213912010193, 0.27509281039237976, -0.16325359046459198, -0.40534543991088867, -0.3298448622226715, -0.01045147329568863, -0.19977238774299622, 0.14952228963375092, 0.1530582308769226, -0.11559274047613144, 0.06177731975913048, 0.2091691642999649, 0.17658311128616333, 0.0048491801135241985, 0.09087172895669937, 0.051855143159627914, 0.05441413074731827, 0.4641043245792389, 0.48189690709114075, 0.07730335742235184, 0.010217578150331974, 0.2812674045562744, -0.028877608478069305, 0.23063912987709045, 0.3070526123046875, -0.11830802261829376, 0.11164245009422302, 0.07175504416227341, -0.04416564106941223, 0.015235870145261288, 0.03234220668673515, -0.10617272555828094, -0.2950455844402313, 0.004961422644555569, -0.1587774008512497, 0.23228995501995087, -0.2663074731826782, 0.02870456501841545, 0.115257129073143, 0.01312052458524704, 0.18877391517162323, 0.044726885855197906, 0.0725436732172966, 0.3232438266277313, 0.23276039958000183, -0.07814878970384598, 0.5466928482055664, 0.050614021718502045, 0.10261021554470062, -0.1717410534620285, -0.12135998159646988, 0.23191960155963898]
4;woman;http://www.wikidata.org/entity/Q7560;[-0.11550923436880112, 0.29953324794769287, 0.16630545258522034, 0.15130537748336792, 0.05034904554486275, -0.4373283386230469, -0.09120738506317139, 0.6332984566688538, -0.19245579838752747, -0.33802375197410583, -0.02820870280265808, -0.323870450258255, -0.2803134322166443, 0.1257299780845642, 0.17965173721313477, -0.05953148007392883, 0.13938690721988678, 0.2475728541612625, -0.36585697531700134, -0.3990464210510254, 0.33198773860931396, 0.004912280477583408, 0.30111488699913025, -0.25938647985458374, 0.07535433769226074, 0.21619392931461334, -0.27291858196258545, 0.160475492477417, -0.10511646419763565, -0.02863316610455513, 0.31346628069877625, -0.23724615573883057, -0.04804277420043945, -0.6259686946868896, -0.09712067991495132, 0.08070046454668045, 0.30070582032203674, -0.04953888803720474, -0.16751991212368011, 0.04990969970822334, 0.08265186101198196, -0.07696709781885147, -0.385457307100296, -0.007591064088046551, 0.005771183874458075, -0.1974470466375351, -0.26958030462265015, -0.1764747053384781, 0.10383258759975433, 0.28205668926239014, -0.1972830593585968, -0.3897543251514435, -0.319886177778244, 0.0054214708507061005, -0.1732545644044876, 0.16174840927124023, 0.21360677480697632, -0.1028129979968071, 0.06226317957043648, 0.26342740654945374, 0.15054640173912048, -0.027519265189766884, 0.05444561317563057, 0.08073144406080246, 0.04284791648387909, 0.4829484522342682, 0.44668665528297424, 0.07074374705553055, 0.005196899641305208, 0.32912755012512207, -0.044973745942115784, 0.2411940097808838, 0.3184540271759033, -0.15932530164718628, 0.09597127139568329, 0.09985120594501495, -0.023000717163085938, -0.015369223430752754, 0.030489521101117134, -0.1313302367925644, -0.29341670870780945, -0.01374539639800787, -0.1676422655582428, 0.20128445327281952, -0.2631496787071228, 0.0777285248041153, 0.034030817449092865, -0.018549326807260513, 0.21126289665699005, 0.04083425551652908, 0.09116194397211075, 0.3276759386062622, 0.1710911989212036, -0.05970868095755577, 0.509965181350708, 0.05604222044348717, 0.03804532065987587, -0.11380470544099808, -0.11272171139717102, 0.2362159639596939]
5;book;http://www.wikidata.org/entity/Q223642;[-0.08954232186079025, 0.27956652641296387, 0.20514781773090363, 0.15398524701595306, 0.021199796348810196, -0.4722515642642975, -0.12758103013038635, 0.6391218304634094, -0.17754867672920227, -0.334603488445282, -0.06625890731811523, -0.37309932708740234, -0.3011125326156616, 0.10856742411851883, 0.20289133489131927, -0.007413063198328018, 0.12274061888456345, 0.2669887840747833, -0.3431827127933502, -0.3938954770565033, 0.3283618986606598, 0.014088398776948452, 0.27588382363319397, -0.30466321110725403, 0.08478035777807236, 0.22760921716690063, -0.3086576759815216, 0.13724631071090698, -0.06224025785923004, -0.029407499358057976, 0.32325780391693115, -0.238591730594635, -0.07018927484750748, -0.6430774927139282, -0.11996078491210938, 0.04989428073167801, 0.34428292512893677, -0.03499344363808632, -0.12770286202430725, 0.05113809555768967, 0.0755143016576767, -0.0705103799700737, -0.37313374876976013, -0.04220014438033104, -0.03673676401376724, -0.19391459226608276, -0.289169579744339, -0.17386431992053986, 0.12381061911582947, 0.32545149326324463, -0.18361976742744446, -0.4206118881702423, -0.34500885009765625, 0.04910123348236084, -0.1782051920890808, 0.17297302186489105, 0.22700054943561554, -0.1431184709072113, 0.05550297349691391, 0.2844320237636566, 0.14865191280841827, 0.0007234531221911311, 0.005664815194904804, 0.07331603020429611, 0.0439668744802475, 0.537417471408844, 0.44208723306655884, 0.0282997228205204, -0.003690937999635935, 0.34239545464515686, -0.030820351094007492, 0.2448877990245819, 0.30445632338523865, -0.2031600922346115, 0.12500083446502686, 0.08799479156732559, -0.025891980156302452, 0.0021992484107613564, 0.026278452947735786, -0.12014548480510712, -0.25862371921539307, -0.0024971612729132175, -0.15867023169994354, 0.21197955310344696, -0.2356659173965454, 0.06763724237680435, -0.022368069738149643, -0.03817293420433998, 0.20872659981250763, 0.10243711620569229, 0.0988193079829216, 0.32208290696144104, 0.1947525143623352, -0.11323525756597519, 0.5188736319541931, 0.08167758584022522, 0.01703898049890995, -0.10840073972940445, -0.08262130618095398, 0.28857240080833435]
6;water;http://www.wikidata.org/entity/Q283;[-0.08695262670516968, 0.30069300532341003, 0.19678732752799988, 0.2120555341243744, -0.00797326397150755, -0.4311612844467163, -0.08563943207263947, 0.6061022281646729, -0.1989937126636505, -0.3689800798892975, -0.014268714003264904, -0.38651758432388306, -0.24310043454170227, 0.12119338661432266, 0.20229372382164001, -0.06086038053035736, 0.147814080119133, 0.2287919968366623, -0.38348376750946045, -0.48831436038017273, 0.3358532190322876, 0.03663244843482971, 0.34592604637145996, -0.27612027525901794, 0.0538298673927784, 0.2917337417602539, -0.3047570586204529, 0.1515335738658905, -0.12737536430358887, 0.027933266013860703, 0.2835072875022888, -0.24970942735671997, 0.0008264401694759727, -0.6942371129989624, -0.12775900959968567, 0.16601386666297913, 0.2668094038963318, -0.13820227980613708, -0.19183588027954102, 0.03158343583345413, 0.087397001683712, -0.10332061350345612, -0.41618016362190247, 0.004582418594509363, 0.023555468767881393, -0.17170415818691254, -0.3018966615200043, -0.1806604117155075, 0.11446931213140488, 0.30341172218322754, -0.23206742107868195, -0.41556984186172485, -0.345095157623291, -0.020341848954558372, -0.20433475077152252, 0.20411649346351624, 0.24960993230342865, -0.12164925038814545, 0.054128117859363556, 0.28675374388694763, 0.14870697259902954, -0.11985599249601364, 0.013361126184463501, 0.036069002002477646, 0.03747287020087242, 0.5284929871559143, 0.3994070887565613, 0.03737471252679825, 0.06673465669155121, 0.33253708481788635, -0.0902419239282608, 0.30728694796562195, 0.3401508927345276, -0.1641407608985901, 0.09690918028354645, 0.14227570593357086, 0.050994377583265305, -0.01439901813864708, 0.043473511934280396, -0.10613050311803818, -0.30776557326316833, -0.02420816197991371, -0.21506989002227783, 0.19209451973438263, -0.2907752990722656, 0.06114770472049713, 0.03595161810517311, -0.07806636393070221, 0.2700112462043762, 0.06667347997426987, 0.13546590507030487, 0.42776113748550415, 0.1219024732708931, -0.044396817684173584, 0.4962884783744812, 0.03618551418185234, 0.034262169152498245, -0.12664057314395905, -0.13267946243286133, 0.23558567464351654]
7;mother;http://www.wikidata.org/entity/Q571;[-0.12158116698265076, 0.3307444155216217, 0.09984932839870453, 0.15450309216976166, 0.06237895414233208, -0.4112449586391449, -0.03643408417701721, 0.6935389041900635, -0.20028699934482574, -0.33008089661598206, -0.039250414818525314, -0.32156965136528015, -0.30270373821258545, 0.10472684353590012, 0.17843089997768402, -0.06298770010471344, 0.1173257976770401, 0.27371448278427124, -0.39800411462783813, -0.4058971405029297, 0.33133864402770996, -0.049736518412828445, 0.37768876552581787, -0.21657755970954895, 0.00032582590938545763, 0.21418645977973938, -0.2585854232311249, 0.16348794102668762, -0.11004600673913956, -0.025630027055740356, 0.395179808139801, -0.2706500291824341, -0.015013341791927814, -0.6573176980018616, -0.07620149105787277, 0.139522984623909, 0.2920697033405304, -0.07106716930866241, -0.21443398296833038, 0.039777759462594986, 0.09520669281482697, -0.09242778271436691, -0.39327743649482727, -0.0012268847785890102, 0.03495537117123604, -0.20894289016723633, -0.23914587497711182, -0.2042475938796997, 0.10129276663064957, 0.2720493972301483, -0.1621788740158081, -0.4048515260219574, -0.32029762864112854, -0.05242849513888359, -0.2140779346227646, 0.16624443233013153, 0.16859491169452667, -0.15331408381462097, 0.05778391659259796, 0.1637336164712906, 0.1363070011138916, -0.06705541163682938, 0.14440271258354187, 0.03214722499251366, 0.0026850842405110598, 0.4665592610836029, 0.451587438583374, 0.09580572694540024, 0.014422591775655746, 0.2986408770084381, -0.07177109271287918, 0.2788301706314087, 0.32079389691352844, -0.10139496624469757, 0.12226373702287674, 0.10499422997236252, -0.05934685468673706, 0.040378984063863754, 0.02939469926059246, -0.12723809480667114, -0.3054009675979614, -0.021749980747699738, -0.14235281944274902, 0.2025507688522339, -0.27349385619163513, 0.02066420577466488, 0.13396883010864258, -0.016100410372018814, 0.18877728283405304, 0.013298002071678638, 0.0992293432354927, 0.3581739664077759, 0.21719759702682495, -0.08042418956756592, 0.5679248571395874, 0.025516655296087265, 0.12276370078325272, -0.1414148062467575, -0.11732316017150879, 0.22299839556217194]
8;mother;http://www.wikidata.org/entity/Q204018;[-0.22763752937316895, 0.4547262191772461, 0.18640892207622528, 0.30225715041160583, 0.0504574216902256, -0.607268750667572, -0.00839731004089117, 0.931667149066925, -0.3563454747200012, -0.5605999231338501, 0.03062022291123867, -0.5524221062660217, -0.37240031361579895, 0.18907640874385834, 0.29385921359062195, -0.10241334140300751, 0.17341676354408264, 0.3127408027648926, -0.5710658431053162, -0.6745139360427856, 0.46210965514183044, 0.015988381579518318, 0.5983221530914307, -0.2934363782405853, 0.0028913968708366156, 0.3213852345943451, -0.3344421684741974, 0.18746726214885712, -0.18740451335906982, -0.02197643183171749, 0.4938196539878845, -0.3320496678352356, 0.07777285575866699, -0.932425320148468, -0.12703825533390045, 0.2954563498497009, 0.3326486349105835, -0.18460141122341156, -0.3720579445362091, -0.0068915048614144325, 0.18093641102313995, -0.16039514541625977, -0.6654622554779053, 0.0020202314481139183, 0.07849210500717163, -0.1438518762588501, -0.4417944550514221, -0.26575368642807007, 0.10075810551643372, 0.4546113908290863, -0.25155553221702576, -0.594136118888855, -0.43714770674705505, -0.07881758362054825, -0.3014703094959259, 0.267385333776474, 0.3385869264602661, -0.21694202721118927, 0.04977012053132057, 0.2968655526638031, 0.16553029417991638, -0.1429273933172226, 0.15970924496650696, -0.004153146408498287, 0.005491489544510841, 0.6959185600280762, 0.5776978731155396, 0.1329731047153473, 0.12394074350595474, 0.44397640228271484, -0.07887978106737137, 0.4490314722061157, 0.49106365442276, -0.10624219477176666, 0.17686611413955688, 0.1534089893102646, 0.04285230115056038, -0.04368838667869568, 0.044204458594322205, -0.13940861821174622, -0.4522428810596466, -0.03276476263999939, -0.2792111337184906, 0.24019505083560944, -0.41732123494148254, 0.030452582985162735, 0.18208777904510498, -0.13612954318523407, 0.3956669270992279, 0.05024202913045883, 0.23103944957256317, 0.6306009292602539, 0.1714564561843872, -0.05841367691755295, 0.7617713809013367, 0.1620364934206009, 0.17207983136177063, -0.24846336245536804, -0.17199474573135376, 0.2567785084247589]
9;diagnostic procedure;http://www.wikidata.org/entity/Q177719;[-0.0903920978307724, 0.2702569365501404, 0.1527247130870819, 0.170076385140419, 0.048586081713438034, -0.42532259225845337, -0.07997892051935196, 0.6153574585914612, -0.19018255174160004, -0.33566412329673767, -0.03724483773112297, -0.3398715555667877, -0.2597770094871521, 0.09287571161985397, 0.19906646013259888, -0.028036190196871758, 0.12102710455656052, 0.22386513650417328, -0.33053654432296753, -0.3903699815273285, 0.31241220235824585, 0.012144627049565315, 0.31049343943595886, -0.2380525767803192, 0.04630705714225769, 0.18839766085147858, -0.2757701277732849, 0.12656906247138977, -0.05794087052345276, -0.04352198913693428, 0.31594085693359375, -0.20383867621421814, -0.022971926257014275, -0.5960068106651306, -0.08772207796573639, 0.08461090922355652, 0.273439884185791, -0.06620445102453232, -0.18950070440769196, 0.03316508233547211, 0.0967792198061943, -0.0670212060213089, -0.3830659091472626, -0.0022814555559307337, 0.009603437967598438, -0.1386255919933319, -0.26976701617240906, -0.17187219858169556, 0.07682560384273529, 0.30288514494895935, -0.18991345167160034, -0.38031941652297974, -0.30604955554008484, -0.0003628134436439723, -0.14447981119155884, 0.1609048694372177, 0.18754424154758453, -0.12053678184747696, 0.05675487592816353, 0.24417786300182343, 0.12310982495546341, -0.0045951115898787975, 0.05903754010796547, 0.057885587215423584, 0.019811581820249557, 0.4469454288482666, 0.4133656620979309, 0.048691391944885254, 0.04078434407711029, 0.30168795585632324, -0.025645267218351364, 0.2316504865884781, 0.31523582339286804, -0.13459563255310059, 0.11864212900400162, 0.07602543383836746, -0.0065481821075081825, 0.0005408732686191797, 0.021657312288880348, -0.09976708889007568, -0.2613096237182617, 0.0038032259326428175, -0.16604255139827728, 0.19277244806289673, -0.24622924625873566, 0.04517413303256035, 0.051424089819192886, -0.04855525493621826, 0.2081523835659027, 0.07267332822084427, 0.10791558027267456, 0.31986695528030396, 0.18165621161460876, -0.04337264969944954, 0.4859282970428467, 0.09778813272714615, 0.07906214892864227, -0.128113254904747, -0.10692986845970154, 0.2226741760969162]
