;id_row;id;id_tweet;url_tweet;text_orig;ED_Patient;ProED;informative;scientific;hashtags;falcon2_responses;entities_instances_wikidata;entities_labels_wikidata;entities_instances_wikidata_cleaned;entities_labels_wikidata_cleaned;spacy_entities_ids;spacy_entities_urls;spacy_entities_labels
0;0;1,32E+34;https://twitter.com/sophhhiiieeeeee/status/1318513897826123776;1;RT @beatED: Learn more about anorexia and bulimia, as well as other eating disorders, here: https://t.co/Aj2HbjRH39 @BBCPanorama #BBCPanorama;0;0;1;0;['BBCPanorama'];"{""entities_wikidata"":[[""<http://www.wikidata.org/entity/Q180507>"",""rt @beated:""],[""<http://www.wikidata.org/entity/Q24645913>"",""Anorexia and bulimia,""],[""<http://www.wikidata.org/entity/Q44484>"",""Disorders, here: https://tco/aj2hbjrh39 @bbcpanorama bbcpanorama""]],""relations_wikidata"":[[""<http://www.wikidata.org/entity/P921>"",""eating""]]}
";['http://www.wikidata.org/entity/Q180507', 'http://www.wikidata.org/entity/Q24645913', 'http://www.wikidata.org/entity/Q44484'];['rt @beated:', 'Anorexia and bulimia,', 'Disorders, here: https://tco/aj2hbjrh39 @bbcpanorama bbcpanorama'];[];[];[254327, 373822];['https://www.wikidata.org/wiki/Q254327', 'https://www.wikidata.org/wiki/Q373822', 'https://www.wikidata.org/wiki/Q962'];['anorexia', 'eating disorder']
1;1;1,32E+34;https://twitter.com/thelewespound/status/1318514436542500866;1;"A woman tries to balance her relationships with her mother and teenage daughter while under the shadow of #anorexia in the atmospheric British drama #BodyofWater. 

At Depot from Friday, book now: https://lewesdepot.org/film/body-of-water
";0;0;0;0;['anorexia', 'BodyofWater'];"{""entities_wikidata"":[[""<http://www.wikidata.org/entity/Q62407>"",""Relationships with her mother""],[""<http://www.wikidata.org/entity/Q186188>"",""Teenage daughter""],[""<http://www.wikidata.org/entity/Q300842>"",""shadow of anorexia in the atmospheric british drama  \n\nat depot from friday, book now: https://lewesdepotorg/film/body-of-water""]],""relations_wikidata"":[[""<http://www.wikidata.org/entity/P1990>"",""tries""],[""<http://www.wikidata.org/entity/P2294>"",""balance""],[""<http://www.wikidata.org/entity/P21>"",""woman""],[""<http://www.wikidata.org/entity/P136>"",""shadow of anorexia in the atmospheric British drama  \n\nAt Depot from Friday, book now: https://lewesdepotorg/film/body-of-water""]]}
";['http://www.wikidata.org/entity/Q62407', 'http://www.wikidata.org/entity/Q186188', 'http://www.wikidata.org/entity/Q300842'];['Relationships with her mother', 'Teenage daughter', 'shadow of anorexia in the atmospheric british drama  \n\nat depot from friday, book now: https://lewesdepotorg/film/body-of-water'];[];[];[467, 223642, 308194, 7560, 254327, 571, 283];['https://www.wikidata.org/wiki/Q467', 'https://www.wikidata.org/wiki/Q223642', 'https://www.wikidata.org/wiki/Q308194', 'https://www.wikidata.org/wiki/Q7560', 'https://www.wikidata.org/wiki/Q160020', 'https://www.wikidata.org/wiki/Q254327', 'https://www.wikidata.org/wiki/Q25372', 'https://www.wikidata.org/wiki/Q571', 'https://www.wikidata.org/wiki/Q15324', 'https://www.wikidata.org/wiki/Q283'];['woman', 'interpersonal relationship', 'daughter', 'mother', 'anorexia', 'book', 'water']
2;2;1,32E+34;https://twitter.com/milkylbs/status/1318514816814882817;1;not a full on diagnosis but like my therapist legit told my mom i have anorexia nevrususu and my poor mom sat there like 👁👄👁...oh;1;0;0;0;[];"<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 3.2 Final//EN"">
<title>500 Internal Server Error</title>
<h1>Internal Server Error</h1>
<p>The server encountered an internal error and was unable to complete your request. Either the server is overloaded or there is an error in the application.</p>
";['No entity'];['No entity'];[];[];[177719, 204018, 7560, 254327, 7560];['https://www.wikidata.org/wiki/Q177719', 'https://www.wikidata.org/wiki/Q204018', 'https://www.wikidata.org/wiki/Q7560', 'https://www.wikidata.org/wiki/Q254327', 'https://www.wikidata.org/wiki/Q7560'];['diagnostic procedure', 'J. Cole', 'mother', 'anorexia', 'mother']
3;3;1,32E+34;https://twitter.com/JamesJosephIgoe/status/1318515167743811584;1;Higher-calorie diets for patients with anorexia nervosa shorten hospital stays https://t.co/jQFWUHQELR via @instapaper;0;0;1;1;[];"{""entities_wikidata"":[[""<http://www.wikidata.org/entity/Q131749>"",""Higher-calorie diets for patients with anorexia nervosa shorten hospital stays https://tco/jqfwuhqelr via @instapaper""]],""relations_wikidata"":[]}
";['http://www.wikidata.org/entity/Q131749'];['Higher-calorie diets for patients with anorexia nervosa shorten hospital stays https://tco/jqfwuhqelr via @instapaper'];[];[];[130964, 181600, 131749, 16917];['https://www.wikidata.org/wiki/Q130964', 'https://www.wikidata.org/wiki/Q181600', 'https://www.wikidata.org/wiki/Q131749', 'https://www.wikidata.org/wiki/Q16917', 'https://www.wikidata.org/wiki/Q4022396'];['calorie', 'patient', 'anorexia nervosa', 'hospital']
4;4;1,32E+34;https://twitter.com/GENDERYOON/status/1318515364217704449;1;tw // ed ment freddie pissed me off but it was amazing. but the way they got the anorexic, bulimic actress to play a food-obsessed character will never sit right with me;1;1;0;0;[];"{""entities_wikidata"":[[""<http://www.wikidata.org/entity/Q865>"",""Tw // ed ment freddie""],[""<http://www.wikidata.org/entity/Q60096>"",""Amazing but the way""],[""<http://www.wikidata.org/entity/Q33999>"",""Anorexic, bulimic actress""],[""<http://www.wikidata.org/entity/Q23404>"",""food-obsessed character""],[""<http://www.wikidata.org/entity/Q191600>"",""Right""]],""relations_wikidata"":[[""<http://www.wikidata.org/entity/P467>"",""pissed""],[""<http://www.wikidata.org/entity/P1889>"",""got""],[""<http://www.wikidata.org/entity/P453>"",""play""],[""<http://www.wikidata.org/entity/P856>"",""sit""],[""<http://www.wikidata.org/entity/P3984>"",""freddie""]]}
";['http://www.wikidata.org/entity/Q865', 'http://www.wikidata.org/entity/Q60096', 'http://www.wikidata.org/entity/Q33999', 'http://www.wikidata.org/entity/Q23404', 'http://www.wikidata.org/entity/Q191600'];['Tw // ed ment freddie', 'Amazing but the way', 'Anorexic, bulimic actress', 'food-obsessed character', 'Right'];['http://www.wikidata.org/entity/Q14565199'];['Right'];[918, 17641254, 32483];['https://www.wikidata.org/wiki/Q918', 'https://www.wikidata.org/wiki/Q17641254', 'https://www.wikidata.org/wiki/Q33999', 'https://www.wikidata.org/wiki/Q32483'];['Twitter', 'Andrew John Henry Way', 'character']
5;5;1,32E+34;https://twitter.com/DlGlMONO/status/1318515659370909697;1;the brains of a woman suffering with AN, one with a healthy weight and one considered obese. the AN patient suppresses the positve reward stimulus the obese woman and the AN patient both receive more rewards stimulus, however the area is wider in the anorexia patient https://t.co/jwMQAcRoeJ;0;0;1;1;[];"{""entities_wikidata"":[[""<http://www.wikidata.org/entity/Q3523415>"",""Positve reward stimulus the obese woman""],[""<http://www.wikidata.org/entity/Q4962014>"",""An,""],[""<http://www.wikidata.org/entity/Q2426479>"",""Healthy weight""],[""<http://www.wikidata.org/entity/Q1348977>"",""Obese""],[""<http://www.wikidata.org/entity/Q3550945>"",""rewards stimulus, however the area""],[""<http://www.wikidata.org/entity/Q209615>"",""wider in the anorexia patient https://tco/jwmqacroej""],[""<http://www.wikidata.org/entity/Q170212>"",""Patient""]],""relations_wikidata"":[[""<http://www.wikidata.org/entity/P131>"",""receive""],[""<http://www.wikidata.org/entity/P21>"",""woman""]]}
";['http://www.wikidata.org/entity/Q3523415', 'http://www.wikidata.org/entity/Q4962014', 'http://www.wikidata.org/entity/Q2426479', 'http://www.wikidata.org/entity/Q1348977', 'http://www.wikidata.org/entity/Q3550945', 'http://www.wikidata.org/entity/Q209615', 'http://www.wikidata.org/entity/Q170212'];['Positve reward stimulus the obese woman', 'An,', 'Healthy weight', 'Obese', 'rewards stimulus, however the area', 'wider in the anorexia patient https://tco/jwmqacroej', 'Patient'];[];[];[1073, 467, 11423, 181600, 859031, 467, 181600, 859031, 11500, 181600, 82435, '35269'];['https://www.wikidata.org/wiki/Q1073', 'https://www.wikidata.org/wiki/Q467', 'https://www.wikidata.org/wiki/Q11423', 'https://www.wikidata.org/wiki/Q181600', 'https://www.wikidata.org/wiki/Q859031', 'https://www.wikidata.org/wiki/Q467', 'https://www.wikidata.org/wiki/Q181600', 'https://www.wikidata.org/wiki/Q859031', 'https://www.wikidata.org/wiki/Q11500', 'https://www.wikidata.org/wiki/Q181600', 'https://www.wikidata.org/wiki/Q82435', 'https://www.wikidata.org/wiki/Q35269'];['brain', 'woman', 'mass', 'patient', 'stimulus', 'woman', 'patient', 'stimulus', 'area', 'patient', 'e']
6;6;1,32E+33;https://twitter.com/DlGlMONO/status/1318515677968424960;1;a brain scan showing the areas affected by positive/negative rewards. be it financial or social. a detailed explanation of an anorexic brain https://t.co/bvehB5qgIo;0;0;1;1;[];"{""entities_wikidata"":[[""<http://www.wikidata.org/entity/Q44484>"",""positive/negative rewards be it financial or social a detailed explanation of an anorexic brain https://tco/bvehb5qgio""],[""<http://www.wikidata.org/entity/Q4955789>"",""brain scan""]],""relations_wikidata"":[[""<http://www.wikidata.org/entity/P423>"",""showing""]]}
";['http://www.wikidata.org/entity/Q44484', 'http://www.wikidata.org/entity/Q4955789'];['positive/negative rewards be it financial or social a detailed explanation of an anorexic brain https://tco/bvehb5qgio', 'brain scan'];[];[];[1073, 11500, 4372150, 7958, 1073, 204];['https://www.wikidata.org/wiki/Q1073', 'https://www.wikidata.org/wiki/Q11500', 'https://www.wikidata.org/wiki/Q4372150', 'https://www.wikidata.org/wiki/Q7958', 'https://www.wikidata.org/wiki/Q1073', 'https://www.wikidata.org/wiki/Q204'];['brain', 'area', 'bounty', 'explanation', 'brain', 'zero']
7;7;1,32E+34;https://twitter.com/SKINNY_WHOREE/status/1318515927990882305;1;I SEARCHED UP ANOREXIA IN GIFS BYYYYE https://t.co/uY2QKBarML;1;1;0;0;[];"{""entities_wikidata"":[[""<http://www.wikidata.org/entity/Q325987>"",""Anorexia""],[""<http://www.wikidata.org/entity/Q8777>"",""In gifs byyyye https://tco/uy2qkbarml""],[""<http://www.wikidata.org/entity/Q8777>"",""Anorexia  gifs byyyye https://tco/uy2qkbarml""],[""<http://www.wikidata.org/entity/Q446502>"",""Gifs""],[""<http://www.wikidata.org/entity/Q8777>"",""Anorexia in  byyyye https://tco/uy2qkbarml""],[""<http://www.wikidata.org/entity/Q1018539>"",""Byyyye""],[""<http://www.wikidata.org/entity/Q8777>"",""Anorexia in gifs  https://tco/uy2qkbarml""]],""relations_wikidata"":[[""<http://www.wikidata.org/entity/P2443>"",""SEARCHED""],[""<http://www.wikidata.org/entity/P361>"",""IN""]]}
";['http://www.wikidata.org/entity/Q325987', 'http://www.wikidata.org/entity/Q8777', 'http://www.wikidata.org/entity/Q8777', 'http://www.wikidata.org/entity/Q446502', 'http://www.wikidata.org/entity/Q8777', 'http://www.wikidata.org/entity/Q1018539', 'http://www.wikidata.org/entity/Q8777'];['Anorexia', 'In gifs byyyye https://tco/uy2qkbarml', 'Anorexia  gifs byyyye https://tco/uy2qkbarml', 'Gifs', 'Anorexia in  byyyye https://tco/uy2qkbarml', 'Byyyye', 'Anorexia in gifs  https://tco/uy2qkbarml'];['http://www.wikidata.org/entity/Q254327'];['Anorexia'];[414];['https://www.wikidata.org/wiki/Q414'];['Argentina']
8;8;1,32E+34;https://twitter.com/tweetladydiary/status/1318516022115258370;1;@Naija_PR @volqx No problem nobody moves right. We shutdown everywhere please start contributions for those staying at home without food. Let’s start cooking n sharing house to house. #wereydeydisguise;0;0;1;0;['wereydeydisguise'];"{""entities_wikidata"":[[""<http://www.wikidata.org/entity/Q3877567>"",""@naija_pr @volqx no problem""],[""<http://www.wikidata.org/entity/Q268824>"",""Right""],[""<http://www.wikidata.org/entity/Q681071>"",""food let\u2019s start""],[""<http://www.wikidata.org/entity/Q626981>"",""food let\u2019s""],[""<http://www.wikidata.org/entity/Q38695>"",""food let\u2019s start cooking n""],[""<http://www.wikidata.org/entity/Q38695>"",""cooking n sharing house""]],""relations_wikidata"":[[""<http://www.wikidata.org/entity/P2631>"",""moves""],[""<http://www.wikidata.org/entity/P580>"",""start""],[""<http://www.wikidata.org/entity/P161>"",""staying""],[""<http://www.wikidata.org/entity/P580>"",""start""],[""<http://www.wikidata.org/entity/P108>"",""cooking""],[""<http://www.wikidata.org/entity/P161>"",""sharing""],[""<http://www.wikidata.org/entity/P856>"",""home""],[""<http://www.wikidata.org/entity/P272>"",""house""]]}
";['http://www.wikidata.org/entity/Q3877567', 'http://www.wikidata.org/entity/Q268824', 'http://www.wikidata.org/entity/Q681071', 'http://www.wikidata.org/entity/Q626981', 'http://www.wikidata.org/entity/Q38695', 'http://www.wikidata.org/entity/Q38695'];['@naija_pr @volqx no problem', 'Right', 'food let’s start', 'food let’s', 'food let’s start cooking n', 'cooking n sharing house'];['http://www.wikidata.org/entity/Q14565199'];['Right'];[204, 82435, 25096743, 7743, 2095, 115, 20502, 20502];['https://www.wikidata.org/wiki/Q204', 'https://www.wikidata.org/wiki/Q82435', 'https://www.wikidata.org/wiki/Q25096743', 'https://www.wikidata.org/wiki/Q7743', 'https://www.wikidata.org/wiki/Q2095', 'https://www.wikidata.org/wiki/Q115', 'https://www.wikidata.org/wiki/Q20502', 'https://www.wikidata.org/wiki/Q20502'];['zero', 'e', 'Contribution', 'home', 'food', 'Ethiopia', 'house music', 'house music']
9;9;1,32E+34;https://twitter.com/croissantbabie/status/1318516116868583424;1;"hii! not new to EDtwt, just using an old account! 🌞 • she/her 17 • vegan  • atypical/anorexia • cw: 53.6kg  • gw: 42kg  • 166cm  • pro recovery  • thinspo &amp; sweetspo  • low cal recipes  like / rt to become mutuals! &lt;3 {#thinspo #edtwt #ed #fatspo #sweetspo #meanspo}";1;1;0;0;['thinspo', 'edtwt', 'ed', 'fatspo', 'sweetspo', 'meanspo'];"<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 3.2 Final//EN"">
<title>500 Internal Server Error</title>
<h1>Internal Server Error</h1>
<p>The server encountered an internal error and was unable to complete your request. Either the server is overloaded or there is an error in the application.</p>
";['No entity'];['No entity'];[];[];[1143151, 108760853, 108761216, 7257522, 5190563, 254327, 813, 1007, 813, 1009, 219239, 105584, 3034218, 373822];['https://www.wikidata.org/wiki/Q1143151', 'https://www.wikidata.org/wiki/Q108760853', 'https://www.wikidata.org/wiki/Q108761216', 'https://www.wikidata.org/wiki/Q7257522', 'https://www.wikidata.org/wiki/Q5190563', 'https://www.wikidata.org/wiki/Q254327', 'https://www.wikidata.org/wiki/Q813', 'https://www.wikidata.org/wiki/Q1007', 'https://www.wikidata.org/wiki/Q813', 'https://www.wikidata.org/wiki/Q1009', 'https://www.wikidata.org/wiki/Q219239', 'https://www.wikidata.org/wiki/Q105584', 'https://www.wikidata.org/wiki/Q3034218', 'https://www.wikidata.org/wiki/Q373822'];['Pro-ana', 'fatspo', 'Meanspo', 'Huntington Ingalls Industries', 'accountability', 'anorexia', 'Kyrgyzstan', 'Guinea-Bissau', 'Kyrgyzstan', 'Cameroon', 'recipe', 'Rotten Tomatoes', 'Mutual Broadcasting System', 'eating disorder']
