;Unique_Entitites
0;1143151
1;373822
2;254327
3;12136
4;2135807
5;2095
6;5
7;82435
8;759676
9;2303219
10;42240
11;108761216
12;28224035
13;28106657
14;573
15;918
16;11471
17;11423
18;577
19;204
20;179661
21;3
22;130964
23;2294
24;11175
25;48422
26;130838
27;154430
28;42844
29;86447
30;122894
31;13418047
32;387834
33;108760853
34;6501349
35;8805
36;131749
37;17641254
38;158547
39;11574
40;23387
41;467
42;12147
43;20021675
44;5962
45;7560
46;181600
47;5151
48;11582
49;8441
50;6460735
51;813
52;7569
53;282250
54;169872
55;38404
56;474191
57;12135
58;12029
59;8028577
60;17297777
61;11573
62;1790261
63;223642
64;2985722
65;102014
66;8436
67;1650915
68;42213
69;1900125
70;7401
71;2473014
72;1401524
73;3236990
74;11028
75;1433373
76;37
77;1318295
78;9332
79;16502
80;1073
81;300897
82;1136376
83;774
84;115
85;14536140
86;213449
87;2995644
88;519
89;779974
90;283
91;73004
92;716894
93;822
94;39552
95;156389
96;309314
97;177634
98;10737
99;336
100;42177
101;190258
102;25235
103;3135308
104;1139338
105;219067
106;21199
107;31928
108;1121708
109;4
110;795052
111;2138622
112;61509
113;7366
114;83478
115;1007
116;228
117;81938
118;316
119;3914
120;12184
121;25224
122;34508
123;152810
124;4658963
125;478798
126;3711325
127;12174
128;878767
129;317309
130;657221
131;28578
132;178354
133;760170
134;112586
135;190507
136;188572
137;7743
138;5190563
139;3031
140;1554231
141;7566
142;10521894
143;19707
144;205663
145;34442
146;48282
147;2180428
148;8785
149;8188561
150;30849
151;213092
152;571
153;11500
154;105584
155;4115667
156;102798
157;5447188
158;654426
159;625642
160;1141067
161;575
162;165947
163;104493
164;11472
165;6996904
166;17156455
167;1045719
168;3658527
169;177719
170;1368
171;12896105
172;172008
173;183252
174;35934
175;190087
176;178561
177;80994
178;31207
179;327245
180;192581
181;9415
182;9420
183;180084
184;1032
185;208385
186;339249
187;204018
188;1071233
189;127980
190;131191
191;849422
192;1283556
193;20899
194;1371819
195;17070
196;17514
197;82794
198;174396
199;603773
200;183257
201;2288034
202;644302
203;103184
204;2134
205;844590
206;639907
207;21146257
208;3034218
209;1196314
210;11442
211;44602
212;128685
213;718113
214;133105
215;7390
216;166142
217;80973
218;8386
219;428148
220;844976
221;11229
222;15733239
223;1198791
224;23317
225;214339
226;7198
227;10486
228;9659
229;17121862
230;17525443
231;517596
232;10450
233;735
234;232
235;190200
236;1963461
237;732833
238;20502
239;2751586
240;131138
241;1553259
242;3336843
243;1872
244;7188
245;778344
246;205555
247;50000
248;11379
249;11002
250;133492
251;2845
252;361698
253;40056
254;1775867
255;7246865
256;6035
257;4049983
258;6014364
259;528166
260;5375780
261;5850078
262;30610
263;27889498
264;728
265;1187312
266;44127
267;48277
268;682435
269;340162
270;9418
271;360484
272;43054
273;16917
274;48103
275;2300281
276;58702
277;1334368
278;12335479
279;6889402
280;3403879
281;42848
282;11190
283;131841
284;189756
285;185451
286;9968
287;45701
288;23856
289;7275
290;758004
291;177232
292;1162163
293;749316
294;4338318
295;7710544
296;214609
297;11326182
298;4503831
299;12190
300;265868
301;1426138
302;379825
303;182995
304;3010
305;6587194
306;468765
307;11348
308;33767
309;1347572
310;11563
311;1144560
312;2383321
313;336751
314;1445650
315;1260632
316;1009
317;7565
318;4830453
319;3331189
320;544006
321;4459632
322;3088458
323;3056045
324;1120735
325;1029907
326;44619
327;6665312
328;18394374
329;3090589
330;1200690
331;7628517
332;28472
333;1193236
334;10566551
335;38926
336;6813432
337;4819031
338;278485
339;861123
340;4204372
341;42301705
342;7493941
343;564
344;811
345;16217353
346;486902
347;218
348;1945894
349;918385
350;69268828
351;7257997
352;2742106
353;4169
354;11410
355;1970348
356;7315950
357;190686
358;4627
359;719602
360;1255864
361;1983062
362;2292472
363;3517772
364;1617
365;960731
366;29017603
367;7949
368;4942684
369;308194
370;33583
371;273120
372;184303
373;195
374;10290214
375;178
376;720314
377;9103
378;815758
379;495337
380;10294
381;27318
382;253276
383;27183
384;2511476
385;4479242
386;207988
387;1366302
388;16867382
389;159810
390;3882778
391;548320
392;8434
393;850210
394;178995
395;11460
396;6819187
397;153
398;144
399;1012804
400;17103040
401;4780984
402;125191
403;190581
404;1054896
405;2473660
406;83726
407;241317
408;240673
409;35758
410;79871
411;1395034
412;1194773
